date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:23	31675/31675	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:36%20GMT	http://html.creaws.com/clinico/index.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/index.html	(from )
19:53:23	397/397	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202016%2016:52:36%20GMT	http://html.creaws.com/robots.txt		(from )
19:53:23	15594/15594	---M-Z	200	added ('OK')	text/css	etag:%223cea-5068cd03618f6-gzip%22	http://html.creaws.com/clinico/css/layerslider.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/css/layerslider.css	(from http://html.creaws.com/clinico/index.html)
19:53:23	3581/3581	---M-Z	200	added ('OK')	text/css	etag:%22dfd-5068cd035e9f8-gzip%22	http://html.creaws.com/clinico/css/fullwidth/skin.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/css/fullwidth/skin.css	(from http://html.creaws.com/clinico/index.html)
19:53:24	21664/21664	---M-Z	200	added ('OK')	text/css	etag:%2254a0-5068cd035c6e3-gzip%22	http://html.creaws.com/clinico/css/font-awesome.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/css/font-awesome.css	(from http://html.creaws.com/clinico/index.html)
19:53:24	5898/5898	---M-Z	200	added ('OK')	text/css	etag:%22170a-5068cd0363c19-gzip%22	http://html.creaws.com/clinico/css/owl.carousel.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/css/owl.carousel.css	(from http://html.creaws.com/clinico/index.html)
19:53:24	4937/4937	---M-Z	200	added ('OK')	text/css	etag:%221349-5068cd0361107-gzip%22	http://html.creaws.com/clinico/css/jquery.fancybox.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/css/jquery.fancybox.css	(from http://html.creaws.com/clinico/index.html)
19:53:24	134471/134471	---M-Z	200	added ('OK')	text/css	etag:%2220d47-5068cd0364f96-gzip%22	http://html.creaws.com/clinico/css/styles.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/css/styles.css	(from http://html.creaws.com/clinico/index.html)
19:53:25	16998/16998	---M-Z	200	added ('OK')	text/css	etag:%224266-5068cd035847a-gzip%22	http://html.creaws.com/clinico/css/color-blue.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/css/color-blue.css	(from http://html.creaws.com/clinico/index.html)
19:53:25	1910/1910	---M-Z	200	added ('OK')	text/css	etag:%22776-5068cd04e9255-gzip%22	http://html.creaws.com/clinico/tuner/css/styles.css	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/tuner/css/styles.css	(from http://html.creaws.com/clinico/index.html)
19:53:26	7485/7485	---M--	200	added ('OK')	image/png	etag:%221d3d-5068cd038dfed%22	http://html.creaws.com/clinico/img/blue/logo.png	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/img/blue/logo.png	(from http://html.creaws.com/clinico/index.html)
19:53:26	33266/33266	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:39%20GMT	http://html.creaws.com/clinico/home-news.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/home-news.html	(from http://html.creaws.com/clinico/index.html)
19:53:26	38416/38416	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:39%20GMT	http://html.creaws.com/clinico/wellness-home.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/wellness-home.html	(from http://html.creaws.com/clinico/index.html)
19:53:26	73402/73402	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:39%20GMT	http://html.creaws.com/clinico/home-one-page.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/home-one-page.html	(from http://html.creaws.com/clinico/index.html)
19:53:27	61775/61775	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:40%20GMT	http://html.creaws.com/clinico/services.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/services.html	(from http://html.creaws.com/clinico/index.html)
19:53:27	31146/31146	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:40%20GMT	http://html.creaws.com/clinico/timetable-week.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/timetable-week.html	(from http://html.creaws.com/clinico/index.html)
19:53:27	37241/37241	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:40%20GMT	http://html.creaws.com/clinico/timetable-month.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/timetable-month.html	(from http://html.creaws.com/clinico/index.html)
19:53:28	24634/24634	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:41%20GMT	http://html.creaws.com/clinico/timetable-list.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/timetable-list.html	(from http://html.creaws.com/clinico/index.html)
19:53:28	26916/26916	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:41%20GMT	http://html.creaws.com/clinico/news-default.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/news-default.html	(from http://html.creaws.com/clinico/index.html)
19:53:28	24795/24795	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:41%20GMT	http://html.creaws.com/clinico/news-four-columns.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/news-four-columns.html	(from http://html.creaws.com/clinico/index.html)
19:53:28	23282/23282	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:42%20GMT	http://html.creaws.com/clinico/news-three-columns.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/news-three-columns.html	(from http://html.creaws.com/clinico/index.html)
19:53:29	23278/23278	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:42%20GMT	http://html.creaws.com/clinico/news-two-columns.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/news-two-columns.html	(from http://html.creaws.com/clinico/index.html)
19:53:29	25583/25583	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:42%20GMT	http://html.creaws.com/clinico/news-full-width.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/news-full-width.html	(from http://html.creaws.com/clinico/index.html)
19:53:29	25602/25602	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Jul%202016%2016:52:43%20GMT	http://html.creaws.com/clinico/news-blog-post.html	C:/My%20Web%20Sites/Medicare2/Medi%202/html.creaws.com/clinico/news-blog-post.html	(from http://html.creaws.com/clinico/index.html)
